id;title;description;availability;condition;price;sale_price;link;image_link;brand;custom_label_0
090300-u.01;Umivalnik CeraStyle PLUS 110;Za vse tiste, ki želijo v svoji kopalnici dodati vrednost z vrhunskim videzom, ki ga umivalnik prinaša v prostor.     Osnovni podatki:    Serija: PLUS  Model: 090300  Dimenzija:110x51 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu. ;in stock;new;198.04 EUR;;https://www.funtrade.net/umivalnik-cerastyle-plus-110.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_plus_090300.jpg;Funtrade;1791,2013,2529,2653,2917,3030
066600-u.01;Umivalnik CeraStyle NIL 95;Umivalnik CeraStyle NIL s svojimvidezom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom.  Osnovni podatki:    Serija: NIL  Model: 066600  Dimenzija: 95x50 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu.;in stock;new;110.86 EUR;;https://www.funtrade.net/umivalnik-cerastyle-nil-95.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_nil_066600.jpg;Funtrade;1791,2013,2529,2653,2917,3031
066500-u.01;Umivalnik CeraStyle NIL 85;Umivalnik CeraStyle NIL s svojimvidezom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom.  Osnovni podatki:    Serija: NIL  Model: 066500  Dimenzija: 85x50 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu.;in stock;new;95.75 EUR;;https://www.funtrade.net/umivalnik-cerastyle-nil-85.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_nil_066500.jpg;Funtrade;1791,2013,2529,2653,2917,3031
066400-u.01;Umivalnik CeraStyle NIL 75;Umivalnik CeraStyle NIL s svojimvidezom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom.  Osnovni podatki:    Serija: NIL  Model: 066400  Dimenzija: 75x50 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu.;in stock;new;83.16 EUR;;https://www.funtrade.net/umivalnik-cerastyle-nil-75.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_nil_066400_.jpg;Funtrade;1791,2013,2529,2653,2917,3031
066100-u.01;Umivalnik CeraStyle NIL 65;Umivalnik CeraStyle NIL s svojimvidezom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom.  Osnovni podatki:    Serija: NIL  Model: 066100  Dimenzija: 65x50 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu.;in stock;new;74.59 EUR;;https://www.funtrade.net/umivalnik-cerastyle-nil-65.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_nil_066100.jpg;Funtrade;1791,2013,2529,2653,2917,3031
066000-u.01;Umivalnik CeraStyle NIL 55;Umivalnik CeraStyle NIL s svojimvidezom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom.  Osnovni podatki:    Serija: NIL  Model: 066000  Dimenzija: 55x47 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu.;in stock;new;71.08 EUR;;https://www.funtrade.net/umivalnik-cerastyle-nil-55.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_nil_066000.jpg;Funtrade;1791,2013,2529,2653,2917,3031
066200-u.01;Umivalnik CeraStyle NIL 45;Umivalnik CeraStyle NIL s svojimvidezom vnese v vašo kopalnico preprostost in lepoto. Vse z ekskluzivnim okusom.  Osnovni podatki:    Serija: NIL  Model: 066200  Dimenzija: 45x43 cm  Barva: bela   Material: keramika  Izvedba/montaža: stenska/za na omarico  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu.;in stock;new;59.99 EUR;;https://www.funtrade.net/umivalnik-cerastyle-nil-45.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_nil_066200.jpg;Funtrade;1791,2013,2529,2653,2917,3031
071100-u.01;Umivalnik CeraStyle MINI L 42;Pametne rešitve za ozke prostore Mini umivalniki omogočajo dihanje tudi v ozki kopalnici.  Zahvaljujoč seriji Mini dobite dodaten prostor tudi, ko je prostor omejen. S kombiniranjem umivalnika z omarico boste imeli uporaben prostor za shranjevanje.   Osnovni podatki:    Serija: MINI L  Model: 071100  Dimenzija: 42x24 cm  Barva: bela   Material: keramika  Izvedba/montaža: nadpultna, stenska  Odprtina za armaturo: da       CeraStyle je priznana blagovna znamka, ki se je v 30 letih razširila že v več kot 60 držav po vsem svetu. Znamko sestavlja široka paleta posebno oblikovanih izdelkov s sodobno in estetsko dovršenim dizajnom. Da je CeraStyle simbol za kakovost, potrujejo pridobljeni certifikati kakovosti, ki veljajo na mednarodnem trgu.   ;in stock;new;42.53 EUR;;https://www.funtrade.net/umivalnik-cerastyle-mini-l-42.html;https://www.funtrade.net/pub/media/catalog/product/c/e/cerastyle_mini_071100.jpg;Funtrade;1791,2013,2529,2653,2917,2975,3030
ARMONIA70;Kopalniški sestav SD ARMONIA 70 - izberi svojo barvo;Armonia pohištvo je zasnovano, da izstopa v vsaki kopalnici in s svojim sodobnim in ukrivljenim videzom predstavlja poseben koncept.  Ukrivljena oblika kopalniškega pohištva ARMONIA sledi liniji umivalnika, da bi zagotovila estetsko ravnovesje.  Lastnosti:    mehko zapiranje  100% MDF material  umivalnik iz mineralnega marmorja  zaobljene fronte  oplaščene fronte    Barve:   bela sijaj F00  temno siva sijaj F03  zlati hrast F40  hrast nordico F41  petrol modra F44     Dimenzije:  Dolžina umivalnika: 69,5 cm  Globina: 50,5 cm na najglobjem delu;in stock;new; EUR;;https://www.funtrade.net/kopalniski-sestav-sd-armonia-70-izberi-svojo-barvo.html;https://www.funtrade.net/pub/media/catalog/product/7/0/70-min_1_1_1_1_1.jpg;Funtrade;1753,2619,2983
ARMONIA100;Kopalniški sestav SD ARMONIA 100 - izberi svojo barvo;Armonia pohištvo je zasnovano, da izstopa v vsaki kopalnici in s svojim sodobnim in ukrivljenim videzom predstavlja poseben koncept.  Ukrivljena oblika kopalniškega pohištva ARMONIA sledi liniji umivalnika, da bi zagotovila estetsko ravnovesje.  Lastnosti:    mehko zapiranje  100% MDF material  umivalnik iz mineralnega marmorja  zaobljene fronte  oplaščene fronte    Barve:   bela sijaj F00  temno siva sijaj F03  zlati hrast F40  hrast nordico F41  petrol modra F44     Dimenzije:  Dolžina umivalnika: 104 cm  Globina: 50,5 cm na najglobjem delu;in stock;new; EUR;;https://www.funtrade.net/kopalniski-sestav-sd-armonia-100-izberi-svojo-barvo.html;https://www.funtrade.net/pub/media/catalog/product/a/r/armonia_100_hrast_1_1.jpg;Funtrade;1753,2619,2983
